#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A966DF
#Date Time: 2023-12-22 19:24:04.377
#Start: 20 Hz
#Stop: 20000 Hz
#Steps: 301
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 61.5666 V
#Offset: -0.00131367 V
#Relative: no

#
Frequency (Hz),Channel 1 Magnitude (dB)
20.00000000000002,-62.02315015504306
20.46585984561509,-62.07181935362002
20.94257096101801,-62.75904990438502
21.43038610475214,-61.87026738447256
21.92956392286372,-62.039878214778
22.4403690860393,-61.82009396958888
22.96307242993768,-62.00007398352741
23.49795109879061,-61.97121895421777
24.04528869234826,-62.4721567288188
24.60537541624765,-62.24997560021257
25.17850823588337,-62.54213102756057
25.7649910338627,-62.47925539624806
26.36513477112818,-62.58799940810997
26.97925765183309,-62.06247730144138
27.60768529205771,-62.05748029522961
28.25075089245511,-62.37501238421191
28.90879541491859,-62.18400166400603
29.58216776336418,-62.11076411722314
30.2712249687242,-62.61805550674933
30.97633237824965,-61.89275416281588
31.69786384922228,-62.06336826517565
32.43620194717863,-61.86069658898572
33.19173814875126,-61.61694324225235
33.96487304923492,-61.84479319580304
34.75601657498753,-61.57787697554143
35.56558820077849,-61.7767557096406
36.39401717219969,-61.70405442322264
37.24174273325739,-61.44591244681286
38.109214359265,-61.17594765936906
38.99689199516095,-61.30503423586131
39.90524629937762,-61.27569455288133
40.83475889339059,-61.41933932447427
41.78592261708081,-61.28445329966418
42.7592417900447,-60.9710506289349
43.75523247899108,-60.65631642589867
44.77442277136685,-60.72372788964731
45.81735305535549,-60.67156020260674
46.88457630639845,-60.35848473487897
47.97665838038985,-60.31963275649115
49.09417831370067,-60.58906557369323
50.23772863019164,-60.63297405623119
51.40791565537734,-60.21209911940104
52.60535983790768,-60.49319191588226
53.83069607853833,-60.28053407141413
55.08457406676338,-59.76855745432161
56.36765862528916,-60.09484764985054
57.68063006253217,-60.01481702337118
59.0241845333278,-59.61682732685951
60.39903440804039,-59.39364958015272
61.80590865027184,-59.2808584523894
63.24555320336765,-59.22094479529698
64.71873138592575,-58.90032441238937
66.22622429651828,-59.08116014056763
67.76883122784055,-58.76989445797332
69.34737009050633,-58.94943874477362
70.96267784671514,-58.66009822512369
