Freq.	V(mc)	V(mm)
2.00000000000000e+001	(-8.67962163583556e+001dB,2.00184074605205e+001°)	(-6.34744040526955e+001dB,2.00184074605205e+001°)
2.04658598456151e+001	(-8.67684349492740e+001dB,2.04357817408379e+001°)	(-6.34466226436139e+001dB,2.04357817408379e+001°)
2.09425709610180e+001	(-8.67395376955365e+001dB,2.08597971484817e+001°)	(-6.34177253898764e+001dB,2.08597971484817e+001°)
2.14303861047521e+001	(-8.67094878357594e+001dB,2.12904322456136e+001°)	(-6.33876755300993e+001dB,2.12904322456136e+001°)
2.19295639228637e+001	(-8.66782480490744e+001dB,2.17276568807450e+001°)	(-6.33564357434144e+001dB,2.17276568807450e+001°)
2.24403690860393e+001	(-8.66457805007287e+001dB,2.21714317889627e+001°)	(-6.33239681950687e+001dB,2.21714317889627e+001°)
2.29630724299377e+001	(-8.66120468924702e+001dB,2.26217081973856e+001°)	(-6.32902345868101e+001dB,2.26217081973856e+001°)
2.34979510987906e+001	(-8.65770085178265e+001dB,2.30784274382579e+001°)	(-6.32551962121664e+001dB,2.30784274382579e+001°)
2.40452886923483e+001	(-8.65406263223590e+001dB,2.35415205722400e+001°)	(-6.32188140166990e+001dB,2.35415205722400e+001°)
2.46053754162476e+001	(-8.65028609689450e+001dB,2.40109080246007e+001°)	(-6.31810486632849e+001dB,2.40109080246007e+001°)
2.51785082358833e+001	(-8.64636729081056e+001dB,2.44864992371484e+001°)	(-6.31418606024455e+001dB,2.44864992371484e+001°)
2.57649910338627e+001	(-8.64230224533647e+001dB,2.49681923388513e+001°)	(-6.31012101477047e+001dB,2.49681923388513e+001°)
2.63651347711281e+001	(-8.63808698615807e+001dB,2.54558738381953e+001°)	(-6.30590575559207e+001dB,2.54558738381953e+001°)
2.69792576518331e+001	(-8.63371754181512e+001dB,2.59494183404018e+001°)	(-6.30153631124912e+001dB,2.59494183404018e+001°)
2.76076852920577e+001	(-8.62918995269472e+001dB,2.64486882926725e+001°)	(-6.29700872212871e+001dB,2.64486882926725e+001°)
2.82507508924551e+001	(-8.62450028047824e+001dB,2.69535337606510e+001°)	(-6.29231904991223e+001dB,2.69535337606510e+001°)
2.89087954149185e+001	(-8.61964461801760e+001dB,2.74637922392738e+001°)	(-6.28746338745160e+001dB,2.74637922392738e+001°)
2.95821677633641e+001	(-8.61461909961134e+001dB,2.79792885011354e+001°)	(-6.28243786904533e+001dB,2.79792885011354e+001°)
3.02712249687242e+001	(-8.60941991164572e+001dB,2.84998344854065e+001°)	(-6.27723868107972e+001dB,2.84998344854065e+001°)
3.09763323782496e+001	(-8.60404330356108e+001dB,2.90252292302151e+001°)	(-6.27186207299507e+001dB,2.90252292302151e+001°)
3.16978638492223e+001	(-8.59848559909785e+001dB,2.95552588512339e+001°)	(-6.26630436853184e+001dB,2.95552588512339e+001°)
3.24362019471786e+001	(-8.59274320777219e+001dB,3.00896965690050e+001°)	(-6.26056197720618e+001dB,3.00896965690050e+001°)
3.31917381487512e+001	(-8.58681263652563e+001dB,3.06283027872777e+001°)	(-6.25463140595962e+001dB,3.06283027872777e+001°)
3.39648730492349e+001	(-8.58069050148892e+001dB,3.11708252243387e+001°)	(-6.24850927092291e+001dB,3.11708252243387e+001°)
3.47560165749875e+001	(-8.57437353979581e+001dB,3.17169990989730e+001°)	(-6.24219230922980e+001dB,3.17169990989730e+001°)
3.55655882007784e+001	(-8.56785862137874e+001dB,3.22665473723155e+001°)	(-6.23567739081273e+001dB,3.22665473723155e+001°)
3.63940171721997e+001	(-8.56114276067520e+001dB,3.28191810464350e+001°)	(-6.22896153010919e+001dB,3.28191810464350e+001°)
3.72417427332573e+001	(-8.55422312817094e+001dB,3.33745995200445e+001°)	(-6.22204189760493e+001dB,3.33745995200445e+001°)
3.81092143592649e+001	(-8.54709706170431e+001dB,3.39324910012501e+001°)	(-6.21491583113831e+001dB,3.39324910012501e+001°)
3.89968919951609e+001	(-8.53976207745500e+001dB,3.44925329767533e+001°)	(-6.20758084688900e+001dB,3.44925329767533e+001°)
3.99052462993776e+001	(-8.53221588054020e+001dB,3.50543927363975e+001°)	(-6.20003464997420e+001dB,3.50543927363975e+001°)
4.08347588933906e+001	(-8.52445637514192e+001dB,3.56177279514280e+001°)	(-6.19227514457591e+001dB,3.56177279514280e+001°)
4.17859226170808e+001	(-8.51648167409087e+001dB,3.61821873042971e+001°)	(-6.18430044352486e+001dB,3.61821873042971e+001°)
4.27592417900446e+001	(-8.50829010783482e+001dB,3.67474111673294e+001°)	(-6.17610887726882e+001dB,3.67474111673294e+001°)
4.37552324789910e+001	(-8.49988023272309e+001dB,3.73130323270452e+001°)	(-6.16769900215708e+001dB,3.73130323270452e+001°)
4.47744227713668e+001	(-8.49125083854291e+001dB,3.78786767504583e+001°)	(-6.15906960797690e+001dB,3.78786767504583e+001°)
4.58173530553554e+001	(-8.48240095524947e+001dB,3.84439643892046e+001°)	(-6.15021972468346e+001dB,3.84439643892046e+001°)
4.68845763063984e+001	(-8.47332985883691e+001dB,3.90085100169435e+001°)	(-6.14114862827090e+001dB,3.90085100169435e+001°)
4.79766583803898e+001	(-8.46403707630513e+001dB,3.95719240951013e+001°)	(-6.13185584573912e+001dB,3.95719240951013e+001°)
4.90941783137006e+001	(-8.45452238968475e+001dB,4.01338136617115e+001°)	(-6.12234115911874e+001dB,4.01338136617115e+001°)
5.02377286301916e+001	(-8.44478583909072e+001dB,4.06937832378484e+001°)	(-6.11260460852471e+001dB,4.06937832378484e+001°)
5.14079156553772e+001	(-8.43482772478404e+001dB,4.12514357459564e+001°)	(-6.10264649421803e+001dB,4.12514357459564e+001°)
5.26053598379076e+001	(-8.42464860822979e+001dB,4.18063734342562e+001°)	(-6.09246737766379e+001dB,4.18063734342562e+001°)
5.38306960785383e+001	(-8.41424931214931e+001dB,4.23581988013515e+001°)	(-6.08206808158331e+001dB,4.23581988013515e+001°)
5.50845740667633e+001	(-8.40363091957308e+001dB,4.29065155151802e+001°)	(-6.07144968900707e+001dB,4.29065155151802e+001°)
5.63676586252890e+001	(-8.39279477191060e+001dB,4.34509293205442e+001°)	(-6.06061354134459e+001dB,4.34509293205442e+001°)
5.76806300625321e+001	(-8.38174246606215e+001dB,4.39910489296093e+001°)	(-6.04956123549614e+001dB,4.39910489296093e+001°)
5.90241845333277e+001	(-8.37047585060586e+001dB,4.45264868899970e+001°)	(-6.03829462003986e+001dB,4.45264868899970e+001°)
6.03990344080403e+001	(-8.35899702110185e+001dB,4.50568604253778e+001°)	(-6.02681579053584e+001dB,4.50568604253778e+001°)
6.18059086502718e+001	(-8.34730831456223e+001dB,4.55817922438237e+001°)	(-6.01512708399622e+001dB,4.55817922438237e+001°)
6.32455532033675e+001	(-8.33541230314286e+001dB,4.61009113095790e+001°)	(-6.00323107257685e+001dB,4.61009113095790e+001°)
6.47187313859256e+001	(-8.32331178711845e+001dB,4.66138535743482e+001°)	(-5.99113055655244e+001dB,4.66138535743482e+001°)
6.62262242965182e+001	(-8.31100978720752e+001dB,4.71202626646855e+001°)	(-5.97882855664151e+001dB,4.71202626646855e+001°)
6.77688312278404e+001	(-8.29850953631816e+001dB,4.76197905225725e+001°)	(-5.96632830575215e+001dB,4.76197905225725e+001°)
6.93473700905062e+001	(-8.28581447078835e+001dB,4.81120979968078e+001°)	(-5.95363324022234e+001dB,4.81120979968078e+001°)
7.09626778467150e+001	(-8.27292822119692e+001dB,4.85968553833633e+001°)	(-5.94074699063091e+001dB,4.85968553833633e+001°)
7.26156109540202e+001	(-8.25985460282250e+001dB,4.90737429134154e+001°)	(-5.92767337225649e+001dB,4.90737429134154e+001°)
7.43070458194344e+001	(-8.24659760582781e+001dB,4.95424511882910e+001°)	(-5.91441637526181e+001dB,4.95424511882910e+001°)
7.60378792641121e+001	(-8.23316138524643e+001dB,5.00026815610998e+001°)	(-5.90098015468042e+001dB,5.00026815610998e+001°)
